ValidStart,hasDry,lag1,lag2,hasDry_pre,yhat_lower,yhat_upper,mape,pe
2020-06-02,19.709639639639633,19.550798384591502,21.134041627834733,18.70566596684807,14.55376871578883,22.648252072079938,0.08442518087085098,0.04994862721967724
2020-06-09,22.059822926374654,19.709639639639633,19.550798384591502,19.796457589178935,15.821107066262536,23.25736961748992,0.08442518087085098,0.04994862721967724
2020-06-16,28.455576265921113,22.059822926374654,19.709639639639633,22.889580168886834,18.775129265976748,26.604851768313026,0.08442518087085098,0.04994862721967724
2020-06-23,30.10860826343586,28.455576265921113,22.059822926374654,29.746309732138048,25.837823310927735,33.65670070008703,0.08442518087085098,0.04994862721967724
2020-06-30,31.058810189499845,30.10860826343586,28.455576265921113,29.36456257770625,25.36304138466371,32.72331794438308,0.08442518087085098,0.04994862721967724
2020-07-07,35.6526219322771,31.058810189499845,30.10860826343586,29.91236013717899,26.002279164249856,33.73176986529391,0.08442518087085098,0.04994862721967724
2020-07-14,38.46927927927925,35.6526219322771,31.058810189499845,35.92028449458278,32.2093113279433,39.41169281386573,0.08442518087085098,0.04994862721967724
2020-07-21,43.53169617893756,38.46927927927925,35.6526219322771,39.13726745224145,35.50415932049996,42.6760492500175,0.08442518087085098,0.04994862721967724
2020-07-28,45.776663560111814,43.53169617893756,38.46927927927925,45.073311991048314,41.425017117064684,48.77499096799833,0.08442518087085098,0.04994862721967724
2020-08-04,38.840900900900905,45.776663560111814,43.53169617893756,45.790998604767466,41.78664097591569,49.62185164777885,0.08442518087085098,0.04994862721967724
2020-08-11,36.440236098167105,38.840900900900905,45.776663560111814,35.43734328191321,31.717620989049223,39.15124731100267,0.08442518087085098,0.04994862721967724
2020-08-18,34.89243864554206,36.440236098167105,38.840900900900905,33.61525733040808,29.807862692621438,37.31476411787715,0.08442518087085098,0.04994862721967724
2020-08-25,38.26312519415965,34.89243864554206,36.440236098167105,32.651812983451215,28.730409703867792,36.56623778717505,0.08442518087085098,0.04994862721967724
2020-09-01,37.13620068344209,38.26312519415965,34.89243864554206,38.35930571809639,34.62852163495029,42.34716820044522,0.08442518087085098,0.04994862721967724
